"generator_name","mean_dev","var_dev","skew_dev","kurt_dev","total_dev"
"R Knuth-TAOCP",4.46597996842102e-05,2.73851090881183e-05,0.000266683959667934,0.000247449195537171,0.000586178063977434
"R Knuth-TAOCP-2002",3.49916278074754e-05,3.45600577670626e-05,0.000237237038570597,0.000305654990629733,0.000612443714774869
"R Wichmann-Hill",8.19847298651477e-05,3.3188919062857e-05,0.000269635277994985,0.000362090635604032,0.000746899562527022
"R Mersenne Twister",0.000157425324864865,2.1366726800448e-05,0.000340496294835994,0.000285171215380335,0.000804459561881641
"R L'Ecuyer-CMRG",0.000135326557934505,3.71697966505778e-05,0.000572894638183619,0.00042392863090801,0.00116931962367671
"QIPRNG (No Crypto)",0.000154991728585037,1.52116243148602e-05,0.00055751236613736,0.000699231985586228,0.00142694770462349
"R Super-Duper",0.000154450190767152,6.05459937933576e-05,0.000422433133677489,0.000883256729126591,0.00152068604736459
"Crypto (OpenSSL)",2.25717349693159e-05,7.53748823173889e-05,0.000525099260336192,0.000963801125763997,0.00158684700338689
"QIPRNG (High Precision)",9.2052767395138e-05,3.3204378990769e-05,0.00086275257215201,0.000770472171222281,0.0017584818897602
"QIPRNG (With Crypto)",0.000330595398481885,1.53947652196997e-05,0.00126774977187733,0.00068577459781823,0.00229951453339714
"dqrng (Xoshiro256+)",0.00023473922084836,1.35273224235455e-05,0.00141617313021508,0.000932685193626363,0.00259712486711335
"R Marsaglia-Multicarry",0.000176575197392133,2.28241055757611e-05,0.00148246947977729,0.000933457220046193,0.00261532600279138
"QIPRNG (Default Config)",0.00037997572835761,6.0880536586802e-05,0.00210771817941297,0.000878846590836183,0.00342742103519357
"dqrng (Xoroshiro128+)",0.000564027404661679,0.000168729990602958,0.00135323204431943,0.00192047562123276,0.00400646506081683
"dqrng (Xoshiro256++)",0.00037719497468421,8.20083492412046e-05,0.00160673990809559,0.00236776246637168,0.00443370569839269
"dqrng (Xoroshiro128++)",0.000472191961726709,8.50689857810477e-05,0.00145138264164187,0.00266144187602757,0.0046700854651772
"dqrng (PCG64)",0.00104205282330712,4.57908253760445e-05,0.0057165790507917,0.00053503946578326,0.00733946216525813
"dqrng (Threefry)",0.00119749482485108,0.000114972390202236,0.00568536931346697,0.00200604263441758,0.00900387916293787
